state_fips,state_name,year,heat_related_deaths,heat_related_deaths_status,data_comment
01,Alabama,2020,15,reported,
02,Alaska,2020,,suppressed,
04,Arizona,2020,373,reported,
05,Arkansas,2020,13,reported,
06,California,2020,128,reported,
08,Colorado,2020,11,reported,
09,Connecticut,2020,,suppressed,
10,Delaware,2020,,suppressed,
11,District of Columbia,2020,,suppressed,
12,Florida,2020,41,reported,
13,Georgia,2020,20,reported,
15,Hawaii,2020,0,reported,
16,Idaho,2020,,suppressed,
17,Illinois,2020,,suppressed,
18,Indiana,2020,,suppressed,
19,Iowa,2020,,suppressed,
20,Kansas,2020,,suppressed,
21,Kentucky,2020,,suppressed,
22,Louisiana,2020,14,reported,
23,Maine,2020,0,reported,
24,Maryland,2020,28,reported,
25,Massachusetts,2020,,suppressed,
26,Michigan,2020,12,reported,
27,Minnesota,2020,,suppressed,
28,Mississippi,2020,,suppressed,
29,Missouri,2020,,suppressed,
30,Montana,2020,,suppressed,
31,Nebraska,2020,,suppressed,
32,Nevada,2020,100,reported,
33,New Hampshire,2020,,suppressed,
34,New Jersey,2020,,suppressed,
35,New Mexico,2020,12,reported,
36,New York,2020,13,reported,
37,North Carolina,2020,17,reported,
38,North Dakota,2020,,suppressed,
39,Ohio,2020,19,reported,
40,Oklahoma,2020,14,reported,
41,Oregon,2020,,suppressed,
42,Pennsylvania,2020,18,reported,
44,Rhode Island,2020,0,reported,
45,South Carolina,2020,13,reported,
46,South Dakota,2020,,suppressed,
47,Tennessee,2020,11,reported,
48,Texas,2020,82,reported,
49,Utah,2020,,suppressed,
50,Vermont,2020,,suppressed,
51,Virginia,2020,11,reported,
53,Washington,2020,,suppressed,
54,West Virginia,2020,,suppressed,
55,Wisconsin,2020,,suppressed,
56,Wyoming,2020,,suppressed,
